Fecha,Empresa,Precio_cierre
2011-10-07,NATURGY,6.01353120803833
2011-10-10,NATURGY,5.94742488861084
2011-10-11,NATURGY,5.917788028717041
2011-10-12,NATURGY,6.0317702293396
2011-10-13,NATURGY,6.0591230392456055
2011-10-14,NATURGY,6.063681602478027
2011-10-17,NATURGY,5.999855041503906
2011-10-18,NATURGY,5.956542491912842
2011-10-19,NATURGY,5.972498893737793
2011-10-20,NATURGY,5.883595943450928
2011-10-21,NATURGY,6.091038227081299
2011-10-24,NATURGY,6.116112232208252
2011-10-25,NATURGY,6.134349346160889
2011-10-26,NATURGY,6.091038227081299
2011-10-27,NATURGY,6.346349716186523
2011-10-28,NATURGY,6.305316925048828
2011-10-31,NATURGY,6.14802885055542
2011-11-01,NATURGY,5.867637634277344
2011-11-02,NATURGY,5.933745384216309
2011-11-03,NATURGY,6.070520401000977
2011-11-04,NATURGY,5.965661525726318
2011-11-07,NATURGY,6.040887832641602
2011-11-08,NATURGY,5.940584659576416
2011-11-09,NATURGY,5.826605319976807
2011-11-10,NATURGY,5.860799312591553
2011-11-11,NATURGY,6.052281856536865
2011-11-14,NATURGY,5.931466579437256
2011-11-15,NATURGY,5.860799312591553
2011-11-16,NATURGY,5.865358829498291
2011-11-17,NATURGY,5.828884601593018
2011-11-18,NATURGY,5.860799312591553
2011-11-21,NATURGY,5.648799419403076
2011-11-22,NATURGY,5.648799419403076
2011-11-23,NATURGY,5.493786811828613
2011-11-24,NATURGY,5.409443378448486
2011-11-25,NATURGY,5.475550651550293
2011-11-28,NATURGY,5.6875505447387695
2011-11-29,NATURGY,5.744541168212891
2011-11-30,NATURGY,5.899552345275879
2011-12-01,NATURGY,5.931466579437256
2011-12-02,NATURGY,5.89727258682251
2011-12-05,NATURGY,6.077358722686768
2011-12-06,NATURGY,5.979337215423584
2011-12-07,NATURGY,5.990735054016113
2011-12-08,NATURGY,5.908671855926514
2011-12-09,NATURGY,6.002132892608643
2011-12-12,NATURGY,5.888154029846191
2011-12-13,NATURGY,5.828884601593018
2011-12-14,NATURGY,5.726303577423096
2011-12-15,NATURGY,5.849402904510498
2011-12-16,NATURGY,5.7832932472229
2011-12-19,NATURGY,5.860799312591553
2011-12-20,NATURGY,5.954263210296631
2011-12-21,NATURGY,5.913231372833252
2011-12-22,NATURGY,5.970219612121582
2011-12-23,NATURGY,6.061403274536133
2011-12-27,NATURGY,6.088756561279297
2011-12-28,NATURGY,5.954263210296631
2011-12-29,NATURGY,6.088756561279297
2011-12-30,NATURGY,6.047725677490234
2012-01-02,NATURGY,6.179941177368164
2012-01-03,NATURGY,6.246047496795654
